ticker,name,sector,industry,volatility,market_cap,tags
BR,"Broadridge Financial Solutions,",Technology,Information Technology Services,0.21411177140415077,28503572480,"Technology, Information Technology Services"
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,0.2152620403202985,32099469312,"Financial Services, Insurance Brokers"
BF.B,N/A,Unknown,Unknown,0.3,0,"Unknown, Unknown"
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,0.43516415796077756,12994354176,"Industrials, Building Products & Equipment"
BG,Bunge Limited,Consumer Defensive,Farm Products,0.27752563682555004,10796417024,"Consumer Defensive, Farm Products"
BXP,"BXP, Inc.",Real Estate,REIT - Office,0.3145097018223693,12000850944,"Real Estate, REIT - Office"
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,0.30105320274514624,11882598400,"Industrials, Integrated Freight & Logistics"
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,0.41736266834826397,87455342592,"Technology, Software - Application"
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,0.4991532443348103,6149613568,"Consumer Cyclical, Resorts & Casinos"
CPT,Camden Property Trust,Real Estate,REIT - Residential,0.22002041941291903,12721200128,"Real Estate, REIT - Residential"
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,0.24641967268587728,10579497984,"Consumer Defensive, Packaged Foods"
COF,Capital One Financial Corporati,Financial Services,Credit Services,0.4036742348235363,75669749760,"Financial Services, Credit Services"
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,0.22221811971420238,36732387328,"Healthcare, Medical Distribution"
KMX,CarMax Inc,Consumer Cyclical,Auto & Truck Dealerships,0.3765021942934299,10355734528,"Consumer Cyclical, Auto & Truck Dealerships"
CCL,Carnival Corporation,Consumer Cyclical,Travel Services,0.504038522912819,31690174464,"Consumer Cyclical, Travel Services"
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,0.3346017008348182,65005531136,"Industrials, Building Products & Equipment"
CAT,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery,0.30786199963226696,165837766656,"Industrials, Farm & Heavy Construction Machinery"
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,0.2332479682797363,23469324288,"Financial Services, Financial Data & Stock Exchanges"
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,0.3075960256748292,38905679872,"Real Estate, Real Estate Services"
CDW,CDW Corporation,Technology,Information Technology Services,0.32469293093113943,24762046464,"Technology, Information Technology Services"
COR,"Cencora, Inc.",Healthcare,Medical Distribution,0.20780240005394968,56739745792,"Healthcare, Medical Distribution"
CNC,Centene Corporation,Healthcare,Healthcare Plans,0.34433413023956194,30627465216,"Healthcare, Healthcare Plans"
CNP,"CenterPoint Energy, Inc (Holdin",Utilities,Utilities - Regulated Electric,0.21004654802550451,24581736448,"Utilities, Utilities - Regulated Electric"
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,0.31738016634790595,14193695744,"Basic Materials, Agricultural Inputs"
CRL,Charles River Laboratories Inte,Healthcare,Diagnostics & Research,0.5394177320437658,6944959488,"Healthcare, Diagnostics & Research"
SCHW,Charles Schwab Corporation (The,Financial Services,Capital Markets,0.30365425115381245,162073722880,"Financial Services, Capital Markets"
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,0.40386137476280126,58760581120,"Communication Services, Telecom Services"
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,0.2532628006422532,239913861120,"Energy, Oil & Gas Integrated"
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,0.3430199653198436,70433243136,"Consumer Cyclical, Restaurants"
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,0.2054285141265582,118021824512,"Financial Services, Insurance - Property & Casualty"
CHD,"Church & Dwight Company, Inc.",Consumer Defensive,Household & Personal Products,0.2105532768353464,23640127488,"Consumer Defensive, Household & Personal Products"
CI,The Cigna Group,Healthcare,Healthcare Plans,0.27743770626431724,85985320960,"Healthcare, Healthcare Plans"
CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,0.25342716537237625,23594088448,"Financial Services, Insurance - Property & Casualty"
CTAS,Cintas Corporation,Industrials,Specialty Business Services,0.2524942791931363,90056613888,"Industrials, Specialty Business Services"
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,0.23180717434889023,254292279296,"Technology, Communication Equipment"
C,"Citigroup, Inc.",Financial Services,Banks - Diversified,0.3435687412176933,142199635968,"Financial Services, Banks - Diversified"
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,0.35557729768203955,18039797760,"Financial Services, Banks - Regional"
CLX,Clorox Company (The),Consumer Defensive,Household & Personal Products,0.21652878423363164,16620667904,"Consumer Defensive, Household & Personal Products"
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,0.1809267129418918,100158185472,"Financial Services, Financial Data & Stock Exchanges"
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,0.1768739665773183,21527955456,"Utilities, Utilities - Regulated Electric"
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,0.1710326183055305,309649178624,"Consumer Defensive, Beverages - Non-Alcoholic"
CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services,0.25180098031571224,40209281024,"Technology, Information Technology Services"
COIN,"Coinbase Global, Inc.",Financial Services,Financial Data & Stock Exchanges,0.8604536688546992,67239567360,"Financial Services, Financial Data & Stock Exchanges"
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,0.2056741955945797,74347929600,"Consumer Defensive, Household & Personal Products"
CMCSA,Comcast Corporation,Communication Services,Telecom Services,0.2821627626541746,132322328576,"Communication Services, Telecom Services"
CAG,"ConAgra Brands, Inc.",Consumer Defensive,Packaged Foods,0.24105407042270202,10979325952,"Consumer Defensive, Packaged Foods"
COP,ConocoPhillips,Energy,Oil & Gas E&P,0.32842622272924965,114121867264,"Energy, Oil & Gas E&P"
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,0.2024708621068054,37971595264,"Utilities, Utilities - Regulated Electric"
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,0.2912132758528029,34338146304,"Consumer Defensive, Beverages - Brewers"
CEG,Constellation Energy Corporatio,Utilities,Utilities - Renewable,0.7029076952529562,92150857728,"Utilities, Utilities - Renewable"
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,0.28917957028892494,16378477568,"Healthcare, Medical Instruments & Supplies"
